i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
197 1.10951 0 1.9547 0.0126 0.0007 0.5517 1.2192 0.0717 0.0221 0.0114
198 1.15503 0 1.9759 0.013 0.0005 0.5612 1.2301 0.0724 0.0219 0.0112
199 1.15983 0 1.9633 0.0126 0.0004 0.543 1.2364 0.0702 0.0224 0.0115
200 1.17921 0 1.9714 0.0138 0.0007 0.5543 1.231 0.0724 0.0224 0.0113
201 1.17149 0 1.9373 0.0126 0.0006 0.543 1.213 0.0701 0.0216 0.0114
202 1.11426 0 1.9583 0.0126 0.0004 0.5429 1.2299 0.0737 0.0222 0.0114
203 1.15857 0 1.9405 0.0136 0.0004 0.5425 1.2289 0.0626 0.0191 0.0114
204 1.17177 0 1.9408 0.0126 0.0006 0.5429 1.227 0.0647 0.0198 0.0114
205 1.12084 0 1.9527 0.0125 0.0005 0.5425 1.2261 0.0719 0.0225 0.0114
206 1.15135 0 1.9493 0.0126 0.0004 0.5407 1.2312 0.0678 0.0209 0.0113
207 1.16622 0 1.9686 0.0144 0.0004 0.5423 1.2363 0.074 0.0234 0.0112
208 1.12259 0 1.9512 0.0126 0.0004 0.5432 1.2292 0.0696 0.0213 0.0113
209 1.16026 0 1.9515 0.0126 0.0004 0.5428 1.2217 0.0739 0.0225 0.0113
210 1.12677 0 1.9509 0.0126 0.0004 0.5432 1.2214 0.084 0.0184 0.0113
211 1.17669 0 1.962 0.0126 0.0004 0.5422 1.2352 0.073 0.0224 0.0113
212 1.15828 0 1.9527 0.0125 0.0003 0.5435 1.2302 0.0694 0.021 0.0113
213 1.18108 0 1.9545 0.0126 0.0004 0.543 1.2337 0.0676 0.0218 0.0113
214 1.07093 0 1.9449 0.0125 0.0004 0.5424 1.2291 0.0649 0.0204 0.0113
215 1.13001 0 1.9753 0.0126 0.0004 0.5442 1.2389 0.0705 0.022 0.0141
216 1.11709 0 1.9549 0.0126 0.0004 0.5423 1.2346 0.0687 0.0207 0.0112
217 1.15882 0 1.9461 0.0126 0.0005 0.5443 1.2313 0.063 0.0202 0.0113
218 1.12563 0 1.9532 0.0126 0.0004 0.5428 1.2314 0.0684 0.0215 0.0113
219 1.19517 0 2.0118 0.0151 0.0006 0.5796 1.2381 0.0735 0.0223 0.0113
220 1.099 0 2.0861 0.0126 0.0005 0.6458 1.2629 0.0685 0.0205 0.0112
221 1.20309 0 1.9859 0.0126 0.0004 0.5428 1.2499 0.0711 0.0226 0.0146
222 1.12779 0 1.9782 0.0126 0.0004 0.5703 1.2297 0.0687 0.0214 0.0114
223 1.12746 0 1.9489 0.0126 0.0003 0.5689 1.2081 0.0651 0.0203 0.0112
224 1.06807 0 2.0248 0.0127 0.0006 0.5717 1.2564 0.0762 0.0229 0.0113
225 1.14931 0 1.9667 0.0127 0.0004 0.553 1.2354 0.0681 0.0211 0.0112
226 1.14234 0 2.0166 0.0129 0.0006 0.5767 1.2489 0.0733 0.0213 0.0113
227 1.15412 0 1.9492 0.0125 0.0005 0.5442 1.228 0.0675 0.0213 0.0112
228 1.18057 0 1.9605 0.0126 0.0002 0.5426 1.2348 0.0709 0.0218 0.0112
