i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
89 1.11412 0 0.796672 0.047104 0.03584 0.036864 0.038912 0.036864 0.032768 0.033792
90 1.16448 0 0.781312 0.047104 0.03584 0.038912 0.038912 0.036864 0.032768 0.032768
91 1.12414 0 0.751616 0.04608 0.03584 0.038912 0.039936 0.036864 0.032768 0.032768
92 1.18072 0 0.799744 0.047104 0.036864 0.038912 0.037888 0.036864 0.032768 0.033792
93 1.11805 0 0.787456 0.047104 0.03584 0.038912 0.038912 0.036864 0.032768 0.032768
94 1.09619 0 0.82432 0.04608 0.067584 0.036864 0.039936 0.037888 0.032768 0.032768
95 1.19028 0 0.781312 0.047104 0.03584 0.037888 0.038912 0.036864 0.031744 0.033792
96 1.16002 0 0.781312 0.04608 0.03584 0.039936 0.038912 0.036864 0.032768 0.032768
97 1.12976 0 0.863232 0.047104 0.03584 0.037888 0.038912 0.036864 0.032768 0.032768
98 1.15456 0 0.791552 0.047104 0.038912 0.037888 0.038912 0.036864 0.032768 0.032768
99 1.14497 0 0.78336 0.047104 0.03584 0.036864 0.038912 0.036864 0.032768 0.032768
100 1.14239 0 0.838656 0.047104 0.03584 0.037888 0.039936 0.036864 0.032768 0.033792
101 1.14128 0 0.784384 0.045056 0.034816 0.037888 0.037888 0.03584 0.032768 0.033792
102 1.14991 0 0.8192 0.047104 0.03584 0.037888 0.070656 0.036864 0.031744 0.033792
103 1.14788 0 0.766976 0.047104 0.03584 0.037888 0.037888 0.036864 0.032768 0.033792
104 1.12938 0 0.77824 0.047104 0.03584 0.037888 0.038912 0.036864 0.032768 0.032768
105 1.1719 0 0.794624 0.047104 0.03584 0.037888 0.038912 0.03584 0.032768 0.032768
106 1.16348 0 0.828416 0.047104 0.03072 0.041984 0.038912 0.036864 0.032768 0.033792
107 1.12549 0 0.802816 0.04608 0.034816 0.037888 0.038912 0.036864 0.032768 0.033792
108 1.13762 0 0.78336 0.04608 0.034816 0.038912 0.037888 0.036864 0.032768 0.032768
109 1.11593 0 0.799744 0.047104 0.03584 0.037888 0.039936 0.036864 0.032768 0.033792
110 1.15978 0 0.786432 0.04608 0.03584 0.036864 0.038912 0.036864 0.032768 0.032768
111 1.1359 0 0.780288 0.04608 0.036864 0.037888 0.037888 0.036864 0.031744 0.032768
112 1.12866 0 0.800768 0.04608 0.03584 0.049152 0.037888 0.036864 0.032768 0.032768
113 1.13232 0 0.80896 0.047104 0.03584 0.037888 0.039936 0.036864 0.032768 0.032768
114 1.16114 0 0.827392 0.047104 0.03584 0.037888 0.038912 0.03584 0.032768 0.031744
115 1.13762 0 0.794624 0.047104 0.03584 0.037888 0.04096 0.03584 0.032768 0.033792
116 1.14565 0 0.78336 0.047104 0.03584 0.037888 0.038912 0.036864 0.032768 0.032768
117 1.13811 0 0.815104 0.04608 0.03584 0.037888 0.039936 0.03584 0.033792 0.033792
118 1.19199 0 0.841728 0.047104 0.032768 0.038912 0.039936 0.036864 0.031744 0.033792
119 1.13487 0 0.799744 0.047104 0.034816 0.037888 0.038912 0.036864 0.033792 0.032768
120 1.10149 0 0.801792 0.047104 0.036864 0.037888 0.038912 0.03584 0.032768 0.034816
121 1.15302 0 0.878592 0.04608 0.03584 0.044032 0.038912 0.036864 0.032768 0.032768
122 1.12325 0 0.8192 0.04608 0.03584 0.037888 0.039936 0.036864 0.032768 0.033792
123 1.14704 0 0.794624 0.04608 0.034816 0.037888 0.038912 0.036864 0.031744 0.033792
124 1.13881 0 0.792576 0.047104 0.03584 0.037888 0.038912 0.03584 0.032768 0.031744
125 1.13708 0 0.78848 0.04608 0.034816 0.037888 0.038912 0.03584 0.031744 0.033792
126 1.14423 0 0.780288 0.047104 0.03584 0.037888 0.039936 0.036864 0.032768 0.032768
127 1.17713 0 0.801792 0.04608 0.03584 0.053248 0.039936 0.036864 0.032768 0.032768
128 1.12464 0 0.792576 0.047104 0.03584 0.041984 0.038912 0.03584 0.033792 0.033792
129 1.15319 0 0.791552 0.047104 0.03584 0.037888 0.038912 0.03584 0.032768 0.032768
130 1.13981 0 0.807936 0.047104 0.049152 0.04096 0.039936 0.036864 0.032768 0.033792
131 1.12073 0 0.77824 0.04608 0.03584 0.037888 0.038912 0.036864 0.031744 0.033792
132 1.11412 0 0.794624 0.04608 0.03584 0.037888 0.037888 0.036864 0.032768 0.032768
133 1.14914 0 0.806912 0.04608 0.03584 0.039936 0.038912 0.036864 0.032768 0.032768
134 1.14539 0 0.77824 0.045056 0.03584 0.036864 0.038912 0.036864 0.031744 0.032768
135 1.1501 0 0.826368 0.04608 0.03584 0.037888 0.039936 0.036864 0.031744 0.033792
136 1.12794 0 0.789504 0.047104 0.036864 0.038912 0.038912 0.036864 0.032768 0.032768
137 1.16111 0 0.827392 0.047104 0.03584 0.037888 0.038912 0.03584 0.032768 0.033792
138 1.11803 0 0.78336 0.047104 0.034816 0.036864 0.038912 0.036864 0.032768 0.032768
139 1.12666 0 0.859136 0.04608 0.03584 0.07168 0.039936 0.036864 0.032768 0.033792
140 1.17524 0 0.864256 0.047104 0.034816 0.050176 0.039936 0.036864 0.032768 0.032768
141 1.10649 0 0.797696 0.04608 0.03584 0.037888 0.038912 0.036864 0.032768 0.033792
142 1.15458 0 0.80384 0.047104 0.039936 0.037888 0.039936 0.036864 0.031744 0.033792
143 1.131 0 0.780288 0.047104 0.03584 0.037888 0.037888 0.036864 0.032768 0.032768
144 1.15862 0 0.791552 0.047104 0.036864 0.037888 0.039936 0.03584 0.032768 0.031744
145 1.12208 0 0.787456 0.048128 0.034816 0.037888 0.038912 0.036864 0.032768 0.033792
146 1.13193 0 0.781312 0.047104 0.03584 0.038912 0.037888 0.03584 0.031744 0.033792
147 1.15524 0 0.847872 0.04608 0.036864 0.039936 0.038912 0.036864 0.032768 0.031744
148 1.13351 0 0.786432 0.047104 0.03584 0.037888 0.039936 0.036864 0.031744 0.032768
149 1.15065 0 0.802816 0.047104 0.034816 0.037888 0.04096 0.037888 0.032768 0.032768
150 1.11767 0 0.799744 0.047104 0.03584 0.037888 0.039936 0.03584 0.033792 0.032768
151 1.17033 0 0.78336 0.047104 0.03584 0.037888 0.039936 0.03584 0.032768 0.033792
152 1.17299 0 0.789504 0.047104 0.03584 0.038912 0.036864 0.036864 0.032768 0.033792
153 1.16383 0 0.779264 0.047104 0.03584 0.037888 0.039936 0.036864 0.032768 0.031744
154 1.1641 0 0.80896 0.04608 0.03584 0.037888 0.039936 0.036864 0.031744 0.033792
155 1.16545 0 0.796672 0.047104 0.03584 0.041984 0.038912 0.036864 0.033792 0.033792
156 1.12701 0 0.77312 0.047104 0.036864 0.037888 0.038912 0.036864 0.031744 0.031744
157 1.13665 0 0.782336 0.047104 0.03584 0.036864 0.039936 0.036864 0.032768 0.032768
158 1.15351 0 0.772096 0.047104 0.03584 0.038912 0.038912 0.036864 0.032768 0.033792
159 1.12666 0 0.776192 0.04608 0.034816 0.037888 0.038912 0.036864 0.031744 0.032768
160 1.1528 0 0.791552 0.045056 0.03584 0.037888 0.038912 0.036864 0.032768 0.032768
161 1.15006 0 0.785408 0.047104 0.03584 0.038912 0.038912 0.036864 0.032768 0.032768
162 1.18018 0 0.782336 0.04608 0.034816 0.037888 0.039936 0.036864 0.032768 0.033792
163 1.12945 0 0.776192 0.047104 0.03584 0.038912 0.039936 0.036864 0.032768 0.031744
164 1.14027 0 0.831488 0.04608 0.03584 0.050176 0.038912 0.036864 0.031744 0.032768
