i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
87 1.11704 0 4.8616 0.00832 0.006144 0.00512 0.005312 0.006144 0.006208 0.004096
88 1.08827 0 5.7054 0.006976 0.006144 0.006144 0.006272 0.006144 0.006144 0.004096
89 1.20133 0 4.758 0.008064 0.006112 0.006144 0.006112 0.005216 0.006144 0.004096
90 1.14774 0 4.8465 0.006912 0.006144 0.006144 0.005312 0.004224 0.006144 0.004096
91 1.1479 0 4.8684 0.008192 0.006144 0.005312 0.005344 0.006144 0.006144 0.004096
92 1.13761 0 4.9989 0.008192 0.006144 0.005984 0.006144 0.006144 0.00624 0.004096
93 1.11246 0 4.9075 0.008256 0.00608 0.005888 0.006144 0.005152 0.006144 0.004224
94 1.13528 0 4.9723 0.008192 0.006144 0.005248 0.006144 0.006144 0.006144 0.004096
95 1.12005 0 4.7913 0.008128 0.006144 0.006144 0.006144 0.00512 0.00512 0.004096
96 1.09227 0 4.9059 0.008096 0.006144 0.005248 0.006144 0.005376 0.006144 0.004224
97 1.14165 0 5.1244 0.007168 0.006112 0.006144 0.00608 0.006144 0.004288 0.004096
98 1.06889 0 5.6176 0.008288 0.006144 0.005984 0.00608 0.004224 0.006144 0.004096
99 1.14325 0 5.8048 0.007168 0.006144 0.007168 0.006144 0.006144 0.006144 0.004096
100 1.15609 0 5.7273 0.008192 0.006368 0.006144 0.006144 0.006144 0.005376 0.005216
101 1.13486 0 5.3559 0.008192 0.00608 0.006144 0.006144 0.00528 0.006144 0.004288
102 1.14239 0 5.1009 0.008192 0.006144 0.006144 0.006144 0.00512 0.006144 0.00416
103 1.14792 0 5.196 0.008352 0.006144 0.006144 0.006144 0.005184 0.006144 0.004096
104 1.1595 0 5.1579 0.009184 0.006144 0.006144 0.006976 0.006144 0.00624 0.00496
105 1.19646 0 5.6862 0.00816 0.006016 0.00592 0.006144 0.005184 0.006144 0.00496
106 1.104 0 5.2567 0.008192 0.007168 0.006144 0.006112 0.00512 0.00608 0.00416
107 1.12234 0 5.3312 0.008192 0.006112 0.006144 0.006144 0.005344 0.006144 0.005952
108 1.12594 0 5.2012 0.008192 0.006144 0.006144 0.006144 0.00512 0.006048 0.004928
109 1.17691 0 5.6117 0.007168 0.006144 0.006144 0.00608 0.006144 0.006144 0.004864
